time_step,entropy,complexity
227,0.54338905,0.12693653
228,0.50724341,0.12893553
229,0.54479079,0.11594203
230,0.50275838,0.11894053
231,0.51611636,0.11894053
232,0.54479079,0.11394303
233,0.49672713,0.11694153
234,0.51021535,0.12493753
235,0.53916400,0.12593703
236,0.54057566,0.12093953
237,0.51021535,0.11994003
238,0.52630776,0.11994003
239,0.52630776,0.12493753
240,0.53916400,0.12293853
241,0.52774982,0.11694153
242,0.51317297,0.12993503
243,0.55451163,0.12993503
244,0.52918846,0.12893553
245,0.53062368,0.12693653
246,0.55036502,0.12693653
247,0.54198401,0.12593703
248,0.54338905,0.12393803
249,0.54057566,0.11894053
250,0.52774982,0.12893553
251,0.56407526,0.12893553
252,0.53062368,0.12093953
253,0.54198401,0.12793603
254,0.54618924,0.13493253
255,0.56947098,0.12893553
256,0.54758443,0.11994003
257,0.54338905,0.12293853
258,0.52774982,0.12993503
259,0.57879462,0.12893553
260,0.53348393,0.13493253
261,0.57215022,0.13393303
262,0.54897635,0.13993003
263,0.57348521,0.13393303
264,0.55999559,0.13293353
265,0.56135863,0.13793103
266,0.54897635,0.14992504
267,0.60965268,0.14992504
268,0.56542887,0.14192904
269,0.57348521,0.14192904
270,0.56542887,0.15392304
271,0.58405555,0.15392304
272,0.59443426,0.14292854
273,0.56407526,0.14192904
274,0.58143111,0.14492754
275,0.61834119,0.13593203
276,0.54057566,0.14592704
277,0.59443426,0.14092954
278,0.56677935,0.14992504
279,0.61463434,0.14292854
280,0.58274483,0.13993003
281,0.58405555,0.13893053
282,0.58011438,0.14392804
283,0.60209522,0.15092454
284,0.59314724,0.14992504
285,0.59699952,0.14392804
286,0.59185730,0.15292354
287,0.60588678,0.15492254
288,0.60082562,0.14692654
289,0.58536327,0.14492754
290,0.57481714,0.15492254
291,0.61834119,0.15192404
292,0.60714492,0.14792604
293,0.59185730,0.14792604
294,0.61214913,0.15292354
295,0.59314724,0.15492254
296,0.62324486,0.13893053
297,0.58011438,0.14792604
298,0.58405555,0.15692154
299,0.63292090,0.15592204
300,0.59699952,0.16591704
301,0.62446390,0.15992004
302,0.62931274,0.15592204
303,0.60209522,0.15692154
304,0.63531288,0.15692154
305,0.62324486,0.15392304
306,0.59699952,0.15792104
307,0.64124614,0.15892054
308,0.60840022,0.16491754
309,0.63051816,0.16091954
310,0.62324486,0.16391804
311,0.62446390,0.16291854
312,0.63051816,0.16391804
313,0.63888081,0.16091954
314,0.60082562,0.17191404
315,0.66882015,0.16191904
316,0.61710836,0.16291854
317,0.64477433,0.15892054
318,0.62810461,0.15792104
319,0.62931274,0.16991504
320,0.65521798,0.15692154
321,0.62568020,0.15192404
322,0.59443426,0.16091954
323,0.66545370,0.15992004
324,0.61710836,0.16591704
325,0.66432653,0.15992004
326,0.62931274,0.16591704
327,0.64594514,0.17091454
328,0.65176008,0.15692154
329,0.62810461,0.16391804
330,0.63172088,0.16991504
331,0.67548580,0.17591204
332,0.64124614,0.17191404
333,0.65979260,0.15792104
334,0.62202308,0.16591704
335,0.66206462,0.17591204
336,0.68206275,0.16691654
337,0.64006480,0.16891554
338,0.65176008,0.17591204
339,0.67768791,0.17991004
340,0.66432653,0.17491254
341,0.64006480,0.17491254
342,0.67658809,0.17691154
343,0.65406792,0.18690655
344,0.69176440,0.17791104
345,0.65291529,0.17591204
346,0.64594514,0.18490755
347,0.68962531,0.18790605
348,0.68855217,0.17091454
349,0.65176008,0.17291354
350,0.67438105,0.17291354
351,0.66993730,0.17791104
352,0.68855217,0.17191404
353,0.67988022,0.17291354
354,0.64944191,0.18890555
355,0.71871814,0.18090955
356,0.66770051,0.18090955
357,0.67658809,0.18690655
358,0.69176440,0.18290855
359,0.66770051,0.18990505
360,0.69707046,0.18390805
361,0.67327383,0.18290855
362,0.66545370,0.19290355
363,0.71467306,0.18290855
364,0.68097270,0.18290855
365,0.68097270,0.17991004
366,0.67768791,0.18590705
367,0.70750610,0.18890555
368,0.68747663,0.18290855
369,0.69176440,0.18590705
370,0.67105196,0.19490255
371,0.72072707,0.18790605
372,0.68206275,0.18590705
373,0.69917633,0.19290355
374,0.70439992,0.19690155
375,0.70439992,0.19090455
376,0.69812457,0.18890555
377,0.70231750,0.18390805
378,0.66882015,0.18990505
379,0.71365609,0.19790105
380,0.69917633,0.19590205
381,0.71365609,0.19890055
382,0.69812457,0.19590205
383,0.71568774,0.19090455
384,0.70439992,0.18790605
385,0.70335987,0.19090455
386,0.68962531,0.18890555
387,0.71467306,0.18690655
388,0.68097270,0.19690155
389,0.71467306,0.19390305
390,0.72768745,0.19590205
391,0.71365609,0.19790105
392,0.72768745,0.18890555
393,0.71670015,0.19290355
394,0.68531833,0.20889555
395,0.74032529,0.20389805
396,0.71972374,0.20789605
397,0.70750610,0.20889555
398,0.74413946,0.19490255
399,0.71263684,0.19690155
400,0.73259224,0.19890055
401,0.73647630,0.19890055
402,0.71059145,0.20489755
403,0.74979594,0.19990005
404,0.71771028,0.20289855
405,0.73259224,0.20589705
406,0.73161571,0.19790105
407,0.72372355,0.20389805
408,0.72570998,0.20289855
409,0.73259224,0.20289855
410,0.71263684,0.21689155
411,0.75905265,0.21089455
412,0.73259224,0.21289355
413,0.73453867,0.21789105
414,0.75259526,0.21389305
415,0.73550858,0.21589205
416,0.74508759,0.20289855
417,0.73259224,0.20489755
418,0.71263684,0.21989005
419,0.76899215,0.21789105
420,0.74697738,0.21789105
421,0.72768745,0.22188906
422,0.77077233,0.21389305
423,0.74318917,0.21089455
424,0.75166429,0.19990005
425,0.73161571,0.20589705
426,0.72172815,0.22688656
427,0.77342715,0.21789105
428,0.74318917,0.21889055
429,0.75166429,0.21889055
430,0.76269623,0.21589205
431,0.76178848,0.21089455
432,0.74979594,0.20889555
433,0.74603356,0.21389305
434,0.73744183,0.23688156
435,0.78727652,0.22388806
436,0.75259526,0.22088956
437,0.75905265,0.21689155
438,0.76809896,0.21989005
439,0.75629789,0.21989005
440,0.76360189,0.21189405
441,0.75813651,0.21489255
442,0.75537541,0.23088456
443,0.79233724,0.21089455
444,0.74603356,0.21789105
445,0.75259526,0.23188406
446,0.78471917,0.22888556
447,0.78214373,0.21889055
448,0.75352410,0.22088956
449,0.77342715,0.22788606
450,0.74885857,0.24487756
451,0.80548484,0.22488756
452,0.74032529,0.22588706
453,0.78128121,0.22888556
454,0.78041667,0.22788606
455,0.78981585,0.22988506
456,0.76720370,0.22688656
457,0.77868151,0.22888556
458,0.76809896,0.23588206
459,0.79149876,0.22988506
460,0.76540696,0.22788606
461,0.77254426,0.23388306
462,0.78471917,0.23388306
463,0.79317373,0.22988506
464,0.77430799,0.23088456
465,0.78386270,0.23588206
466,0.77606352,0.25987006
467,0.81735927,0.24287856
468,0.77165932,0.23288356
469,0.78214373,0.24187906
470,0.78300422,0.24887556
471,0.80548484,0.23988006
472,0.78300422,0.23288356
473,0.79400824,0.23688156
474,0.77868151,0.25687156
475,0.82275369,0.24187906
476,0.78642608,0.23488256
477,0.77693822,0.24487756
478,0.80548484,0.24487756
479,0.79897383,0.24587706
480,0.80143010,0.24187906
481,0.80143010,0.24087956
482,0.78041667,0.25987006
483,0.82503725,0.25587206
484,0.80949106,0.24487756
485,0.78557363,0.25187406
486,0.80305784,0.25587206
487,0.80628995,0.25387306
488,0.82045315,0.23188406
489,0.79317373,0.23788106
490,0.78642608,0.25787106
491,0.82655024,0.25287356
492,0.80869368,0.24387806
493,0.79815115,0.26386807
494,0.82351676,0.26186907
495,0.81580093,0.24287856
496,0.79897383,0.24287856
497,0.80386878,0.24987506
498,0.80949106,0.25987006
499,0.81580093,0.25687156
500,0.82122189,0.25587206
501,0.79979454,0.26886557
502,0.82730392,0.25587206
503,0.82351676,0.25487256
504,0.80709313,0.25087456
505,0.81813559,0.24187906
506,0.79815115,0.26286857
507,0.83620280,0.27086457
508,0.82579468,0.26786607
509,0.82351676,0.26486757
510,0.82579468,0.26186907
511,0.83104430,0.24387806
